cuisine,id
southern_us,18009
southern_us,28583
italian,41580
cajun_creole,29752
italian,35687
southern_us,38527
southern_us,19666
chinese,41217
mexican,28753
southern_us,22659
italian,21749
greek,44967
indian,42969
italian,44883
british,20827
italian,23196
french,35387
southern_us,33780
mexican,19001
southern_us,16526
japanese,42455
indian,47453
french,42478
indian,11885
italian,16585
southern_us,29639
thai,26245
korean,38516
italian,47520
southern_us,26212
mexican,23696
thai,14926
italian,13292
japanese,27346
chinese,1384
mexican,15959
russian,42297
indian,46235
indian,21181
cajun_creole,9809
cajun_creole,22982
chinese,23120
french,26743
mexican,12741
italian,7050
italian,22437
spanish,14760
indian,10649
thai,48065
chinese,39931
italian,32935
thai,40142
indian,19103
mexican,38267
italian,30512
chinese,3324
italian,26197
japanese,384
chinese,47230
cajun_creole,39748
french,41038
mexican,24878
filipino,42624
korean,45706
mexican,8874
greek,23878
filipino,47234
thai,24075
italian,46323
italian,22562
italian,11358
indian,9201
thai,38620
southern_us,47638
indian,21238
japanese,11053
indian,46602
mexican,13937
southern_us,21876
greek,20798
chinese,24381
spanish,48178
italian,45832
korean,27560
british,23247
french,28975
greek,43230
italian,9126
cajun_creole,13021
chinese,28194
indian,25617
italian,36125
mexican,16454
chinese,1607
moroccan,38526
southern_us,18755
french,12035
greek,16047
italian,15419
indian,16971
greek,31459
french,27888
italian,13900
thai,12376
japanese,1658
mexican,29431
italian,22290
italian,28464
korean,37953
chinese,20814
mexican,35987
italian,2329
mexican,43237
french,30647
italian,16675
mexican,37722
japanese,32438
thai,20287
indian,43296
greek,6237
korean,48560
mexican,20810
french,34951
southern_us,31850
southern_us,47745
mexican,37815
italian,9872
italian,5592
thai,27411
irish,39320
british,40247
mexican,19792
italian,40754
mexican,14365
spanish,14468
mexican,47563
italian,19611
mexican,7163
southern_us,43069
chinese,27505
thai,36500
southern_us,25932
italian,817
french,8471
southern_us,48250
cajun_creole,9413
cajun_creole,12097
cajun_creole,8416
italian,5892
southern_us,676
chinese,47015
italian,21891
italian,14630
chinese,36195
mexican,25981
french,39964
indian,28298
spanish,31954
mexican,26620
southern_us,14932
southern_us,47426
italian,1038
southern_us,8077
southern_us,37141
french,45447
mexican,9624
british,45589
indian,7265
southern_us,31844
italian,13046
southern_us,9867
italian,29184
italian,34783
vietnamese,2823
mexican,18932
mexican,11112
thai,12859
italian,9365
southern_us,44516
irish,18193
italian,46545
italian,9900
thai,14815
italian,39690
southern_us,22193
italian,11739
chinese,27311
indian,36920
indian,7861
moroccan,29248
mexican,43142
mexican,7574
mexican,8610
italian,989
mexican,46926
mexican,40816
chinese,39726
southern_us,42229
italian,10474
mexican,22140
indian,31985
japanese,46165
italian,20860
italian,42494
french,15968
vietnamese,20484
thai,26661
mexican,47182
southern_us,22528
indian,3861
french,1203
southern_us,45040
indian,33287
jamaican,10097
southern_us,42005
spanish,12423
mexican,39613
brazilian,30276
mexican,18686
french,3031
italian,40093
italian,182
mexican,46591
chinese,4092
southern_us,13722
italian,44575
italian,14989
italian,13270
italian,25529
indian,12140
mexican,23127
italian,13523
italian,41270
thai,8362
southern_us,11735
italian,27935
mexican,28198
indian,37765
southern_us,33856
italian,30198
italian,42521
italian,21567
french,36995
thai,24967
italian,45002
brazilian,48925
mexican,36914
southern_us,2280
southern_us,14729
italian,4594
mexican,2237
moroccan,45631
chinese,2317
brazilian,23079
chinese,29333
southern_us,48066
italian,15737
jamaican,30580
italian,1119
moroccan,46336
mexican,5026
indian,10749
mexican,31020
italian,30805
japanese,27653
mexican,35060
mexican,39174
italian,49509
southern_us,31784
french,31408
mexican,36029
italian,11045
southern_us,6561
southern_us,26992
southern_us,31179
mexican,35099
chinese,11018
mexican,17930
italian,21302
chinese,46352
mexican,25132
mexican,7010
southern_us,25850
mexican,19601
italian,7935
filipino,34994
italian,25113
italian,45523
southern_us,34977
southern_us,7124
greek,27514
mexican,27178
korean,47880
spanish,29197
southern_us,16347
mexican,20333
chinese,29112
italian,7510
mexican,13897
moroccan,35699
mexican,20520
mexican,38920
indian,21775
japanese,37475
cajun_creole,40131
mexican,1939
cajun_creole,48268
italian,34815
italian,13797
chinese,39063
chinese,29064
italian,26896
italian,29477
british,3352
mexican,4966
italian,7316
mexican,23879
italian,16525
italian,32843
jamaican,39574
mexican,32737
filipino,44788
italian,28772
mexican,34189
southern_us,33719
indian,25846
indian,1423
vietnamese,4328
italian,579
indian,5219
southern_us,2314
moroccan,31143
chinese,13409
greek,3281
thai,15804
southern_us,40835
korean,39262
indian,37013
jamaican,14807
mexican,47956
mexican,2580
brazilian,13720
japanese,23008
indian,5951
mexican,39312
southern_us,6176
chinese,17617
mexican,57
indian,43422
southern_us,49403
southern_us,44751
mexican,21865
italian,26584
korean,39355
mexican,14038
mexican,45396
mexican,49715
thai,41515
spanish,30445
mexican,4090
thai,17207
irish,40376
mexican,19398
vietnamese,22347
mexican,49671
italian,40854
chinese,926
mexican,47919
italian,20571
british,18866
mexican,48742
italian,14577
italian,29481
italian,40996
moroccan,34470
mexican,31147
italian,35932
italian,27221
italian,48301
japanese,29925
thai,48640
southern_us,22873
cajun_creole,10565
italian,15509
southern_us,37569
chinese,13306
italian,40474
indian,15182
chinese,8609
southern_us,32168
mexican,1125
italian,25244
chinese,46889
filipino,13841
moroccan,47135
indian,29036
japanese,43533
southern_us,41631
french,22124
cajun_creole,18836
french,35695
indian,5141
moroccan,41894
italian,4972
vietnamese,34195
southern_us,14183
japanese,15188
italian,8734
southern_us,30946
cajun_creole,5588
southern_us,49554
indian,1270
vietnamese,1259
greek,45986
southern_us,22351
mexican,300
southern_us,9278
indian,10021
southern_us,17014
italian,40855
